"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSDARG00000102141",153.784949322069,0.00821697678083692,0.656785641265216,0.992283235774725,0.997021335609037
"ENSDARG00000102123",160.245283667052,0.0364762228164855,0.596747131278893,0.944538941691638,0.977739353938297
"ENSDARG00000114503",282.846521057703,0.0442149771405681,0.977273016417262,0.900730625255505,0.958708011667367
"ENSDARG00000115971",11.1706367756209,-0.0327831723096899,0.987012648819063,0.886371826876917,0.952629516524045
"ENSDARG00000098311",203.272348242213,-0.150339662836487,0.572430480413967,0.747522345750011,0.886481301727802
"ENSDARG00000104839",26.5178779474984,6.96674421749173,3.87543067210392,0.000794365552564084,0.00527724463247503
"ENSDARG00000100143",749.374945956507,0.157711341805912,0.393926401968657,0.667128087006774,0.838994658506096
"ENSDARG00000102474",591.16836241684,0.330608264518756,0.473133531299355,0.432941608749332,0.666778245265638
"ENSDARG00000104049",103.614631588614,1.01906586472058,0.833532476925507,0.0847738963124475,0.22179406551565
"ENSDARG00000102226",36.4858170144232,0.0637087185424758,0.965610270639669,0.854996910931474,0.939893486439397
"ENSDARG00000103095",1430.1307666206,1.38407972575776,0.370075080106577,6.67477699174784e-05,0.000621933237273082
"ENSDARG00000102128",123.116069468478,0.350291618892078,0.796653805818415,0.507243700818996,0.731432768272207
"ENSDARG00000110470",1017.48885121584,2.74116065881612,0.560214227424931,1.14317905491088e-07,1.91766642613029e-06
"ENSDARG00000100422",2653.89042365092,3.54870601722114,0.317131625445246,4.45457805637e-30,5.94380464188193e-28
"ENSDARG00000104632",158.059630887189,11.2103082886275,3.11975195248207,7.37186465799077e-11,2.08155763475631e-09
"ENSDARG00000100660",57.6500292093179,-0.0577806880357236,0.787618204687899,0.902213047441484,0.959466086890215
"ENSDARG00000113107",17.9189308646771,-0.166424395657283,0.978710031460205,0.60742101107676,0.801117639455524
"ENSDARG00000099787",8.28335434475603,0.27195086613788,1.05409259202175,0.23665981758581,NA
"ENSDARG00000112451",110.240058402674,-1.9916124225264,1.43018688131875,0.0136116456754438,0.055989183051965
"ENSDARG00000070546",0,NA,NA,NA,NA
"ENSDARG00000045914",1490.08373736609,-0.676095599815392,0.308490001547817,0.0208778758458171,0.0782058413563956
"ENSDARG00000045913",223.052790130736,-0.109213662408278,0.626031178313185,0.8205990796011,0.924744428484963
"ENSDARG00000045911",2056.36235382806,1.19742212714301,0.332547049264238,0.000141967491438085,0.00119862131418879
"ENSDARG00000045910",380.880511645122,1.5998428752281,1.39144340090594,0.0299911211650399,0.103598771334059
